Title,Genre(s),Developer(s),Publisher(s)
Lego Marvel Super Heroes,Action-adventure,TT Games,WB Games
Lego Marvel Super Heroes 2,Action-adventure,TT Games,WB Games
Lego Marvel's Avengers,Action-adventure,TT Games,WB Games
Lego Movie Videogame,Action-adventure,TT Games,WB Games
Lego Movie Videogame 2,Action-adventure,TT Games,WB Games
Lego Ninjago Movie Video Game,Action-adventure,TT Games,WB Games
Lego Star Wars: The Force Awakens,Action-adventure,TT Games,WB Games
Lego Star Wars: The Skywalker Saga,Action-adventure,TT Games,WB Games
Lego Worlds,Action-adventure,TT Games,WB Games
Legrand Legacy: Tale of the Fatebounds,Role-playing,Semisoft,Another Indie
Leo's Fortune: HD Edition,"Platform, puzzle",Tilting Point,1337 & Senri
Leisure Suit Larry: Wet Dreams Don't Dry,Adventure,CrazyBunch,Assemble Entertainment
Leisure Suit Larry: Wet Dreams Dry Twice,Adventure,CrazyBunch,Assemble Entertainment
Lemnis Gate,First-person shooter,Ratloop Games Canada,Frontier Foundry
Lethal League,Fighting,Team Reptile,Team Reptile
Lethal League Blaze,Fighting,Team Reptile,JP: Oizumi AmuzioWW: Team Reptile
Let's Sing 2020,Music,Voxler,Ravenscourt
Let's Sing 2021,Music,Voxler,Ravenscourt
Let's Sing Country,Music,Voxler,Deep Silver
Let's Sing Queen,Music,Voxler,Ravenscourt
Letter Quest Remastered,Puzzle,Bacon Bandit Games,Digerati
Let Them Come,Shooter,Tuatara Games,Versus Evil
Lichdom: Battlemage,Action role-playing,Xaviant,Maximum Games
Lichtspeer: Double Speer Edition,Action,Lichthund,Crunching Koalas
Life Goes On: Done to Death,Platformpuzzle,Infinite Monkeys Entertainment,Infinite Monkeys Entertainment
Life Is Strange,Action-adventure,Dontnod Entertainment,Square Enix
Life Is Strange 2,Adventure,Dontnod Entertainment,Square Enix
Life Is Strange: Before the Storm,Action-adventure,Deck Nine Games,Square Enix
Life Is Strange: True Colors,Adventure,Deck Nine,Square Enix
Light Fairytale Episode 1,Role-playing,Neko Works,Neko Works
Limbo,Platform,Double Eleven,Playdead
Linelight,Puzzle,My Dog Zorro,Brett Taylor Interactive
Link: The Unleashed Nexus – Restructured Heaven,Action,Reminisce,Reminisce
Link-a-Pix Deluxe,Nonogrampuzzle,Lightwood Games,JP: EastAsiaSoftWW: Lightwood Games
Lithium: Inmate 39,"Horror, puzzle",CanuArts,CanuArts
The Little Acre,Graphic adventure,Pewter Games,Curve Digital
Little Big Workshop,Construction and management,Mirage Game Studios,HandyGames
LittleBigPlanet 3,"Platform, puzzle",Sumo Digital,Sony Computer Entertainment
Little Devil Inside,Action-adventure,Neostream Interactive,Neostream Interactive
Little Misfortune,Adventurehorror,Killmonday Games,Killmonday Games
Little Nightmares,Action-adventure,Tarsier Studios,Bandai Namco Entertainment
Little Nightmares II,Action-adventure,Tarsier Studios,Bandai Namco Entertainment
Little Town Hero,Role-playing,Game Freak,NIS America
Little Witch Academia: Chamber of Time,Role-playing,A+ Games,Bandai Namco Entertainment
Lizard Lady vs. the Cats,Action-adventure,The Voices Games,The Voices Games
Livelock,Shoot 'em up,Tuque Games,Perfect World
Lock's Quest,Real-time strategy,Digital Continue,THQ Nordic
LocoRoco Remastered,Platformpuzzle,Japan Studio,Sony Interactive Entertainment
LocoRoco 2 Remastered,Platformpuzzle,Japan Studio,Sony Interactive Entertainment
Lode Runner Legacy,Platform,Tozai Games,Limited Games
Lonely Mountains: Downhill,Racing,Megagon Industries,Thunderful Publishing
Lone Survivor: The Director's Cut,Survival horror,Superflat Games,Superflat Games
The Long Dark,Survival,Hinterland Studio,Hinterland Studio
Lornsword Winter Chronicle,Actionstrategy,Tower Five,Tower Five
Loot Rascals,Roguelike,Hollow Ponds,Hollow Ponds
The Lord of the Rings: Adventure Card Game,Card & board,Fantasy Flight Games,Asmodee
Lords of the Fallen,Action role-playing,Deck13 Interactive,City Interactive
Lost Castle,2Dactionrogue-like,Hunter Studio,Another Indie
The Lost Child,Role-playing,Crim,JP: Kadokawa GamesWW: NIS America
Lost Ember,Action-adventure,Mooneye Studios,Mooneye Studios
Lost Grimoires: Stolen Kingdom,Puzzlehidden object,Artifex Mundi,Artifex Mundi
Lost Grimoires 2: Shard of Mystery,Puzzlehidden object,Artifex Mundi,Artifex Mundi
Lost in Random,Action-adventure,Zoink,Electronic Arts
Lost Judgment,Action-adventure,Ryu Ga Gotoku Studio,Sega
Lost Ruins,Survival,Altari Games,Dangen Entertainment
Lost Orbit: Terminal Velocity,Adventure,Pixelnauts,Pixelnauts
Lost Sea,Action-adventure,EastAsiaSoft,EastAsiaSoft
Lost Soul Aside,Action,Yang Bing,Ultizero
Lost Sphear,Role-playing,Tokyo RPG Factory,Square Enix
Lost Wing,Arcadecombat racing,BoxFrog Games,2Awesome Studio
Lost Words: Beyond the Page,Platformpuzzle,Sketchbook Games,Modus Games
Lovecraft's Untold Stories,Action role-playing,Forsaken Games,BadLand Games
Lovers in a Dangerous Spacetime,"2D platform, action",Asteroid Base,Asteroid Base
Lumines Remastered,Puzzle,Enhance Games,Enhance Games
Lumini,Action-adventure,Speelbaars,2Awesome Studio
Lumo,Action-adventure,Triple Eh?,Rising Star Games
Luna,Puzzle,Funomena,Funomena
Machinarium,Graphic adventure,Amanita Design,Amanita Design
Mad Games Tycoon,Business simulation,Eggcode,Toplitz Productions
Mad Max,Action-adventure,Avalanche Studios,WB Games
Mad Rat Dead,Platformrhythm,Nippon Ichi Software,JP: Nippon Ichi SoftwareWW: NIS America
Mad Tower Tycoon,Strategysimulation,Eggcode,Toplitz Productions
Made in Abyss: Binary Star Falling into Darkness,Action-role playing,Spike Chunsoft,Spike Chunsoft
Madden NFL 15,Sports,EA Tiburon,Electronic Arts
Madden NFL 16,Sports,EA Tiburon,Electronic Arts
Madden NFL 17,Sports,EA Tiburon,Electronic Arts
Madden NFL 18,Sports,EA Tiburon,Electronic Arts
Madden NFL 19,Sports,EA Tiburon,Electronic Arts
Madden NFL 20,Sports,EA Tiburon,Electronic Arts
Madden NFL 21,Sports,EA Tiburon,Electronic Arts
Madden NFL 22,Sports,EA Tiburon,Electronic Arts
Madden NFL 25,Sports,EA Tiburon,Electronic Arts
Mafia: Definitive Edition,Action-adventure,Hangar 13,2K
Mafia II: Definitive Edition,Action-adventure,Hangar 13,2K
Mafia III: Definitive Edition,Action-adventure,Hangar 13,2K
Mafia III,Action-adventure,Hangar 13,2K
Mages of Mystralia,Adventure,Borealys Games,Borealys Games
The Magic Circle: Gold Edition,Sandbox,Question,Question
Magicians Dead: Force of the Soul,Action,Byking,Oizumi Amuzio
Magicka 2,Action-adventure,Pieces Interactive,Paradox Interactive
Magic Scroll Tactics,Tactical role-playing,Otori Denshi,Mediascape
Maglam Lord,Action role-playing,Felistella,JP: D3 PublisherWW: PQube
Mahjong,Puzzle,Sanuk Games,Bigben Interactive
Maldita Castilla EX,Platform,Abylight Studios,Abylight Studios
Malicious Fallen,Action,Alvion,Sony Interactive Entertainment
Maneater,Action role-playing,Blindside Interactive,Tripwire Interactive
The Manga Works,Simulation,Kairosoft,Kairosoft
Manifold Garden,Puzzle,William Chyr Studio,William Chyr Studio
Mantis Burn Racing,Racing,VooFoo Studios,VooFoo Studios
Maquette,Puzzle,Graceful Decay,Annapurna Interactive
Marchen Forest: Mylne and the Forest Gift,Role-playing,PrimaryOrbit,Clouded Leopard Entertainment
Marenian Tavern Story: Patty and the Hungry God,Role-playingturn-based,Rideon,Kemco
Mark McMorris Infinite Air,Sports,HB Studios,Maximum Games
Marooners,"Action, party",M2H,M2H
Martha is Dead,Psychological horror,LKA,Wired Productions
Marvel Heroes Omega,Massively multiplayer online role-playing,Gazillion EntertainmentSecret Identity Studios,Gazillion Entertainment
Marvel Puzzle Quest: Dark Reign,Puzzle,D3 Go!,Marvel Entertainment
Marvel: Ultimate Alliance,Action role-playing,Raven Software,Activision
Marvel: Ultimate Alliance 2,Action role-playing,Raven Software,Activision
Marvel vs. Capcom: Infinite,Fighting,Capcom,Capcom
Mars Horizon,Strategysimulation,Auroch Digital,The Irregular Corporation
Mary Skelter 2,Action role-playing,Compile Heart,Idea Factory
Mary Skelter Finale,Action role-playing,Compile Heart,Idea Factory
Masquerada: Songs and Shadows,Tactical role-playing,Witching Hour Studios,Ysbryd Games
Mass Effect: Andromeda,Action role-playing,BioWare,Electronic Arts
Mass Effect Legendary Edition,Action role-playing,BioWare,Electronic Arts
Masters of Anima,Real-time tacticspuzzle,Passtech Games,Focus Home Interactive
Matchpoint: Tennis Championships,Sports,Torus Games,Kalypso Media
Matterfall,Shooter,Housemarque,Sony Computer Entertainment
Max: The Curse of Brotherhood,Platformpuzzle,Press Play,Wired Productions
Mayhem Brawler,Beat 'em up,Hero Concept,Hero Concept
McDroid,Tower defense,Grip Games,Grip Games
The Mean Greens - Plastic Warfare,Third-person shooter,Virtual Basement,Code Headquarters
MediEvil,Hack & slash,Other Ocean Interactive,Sony Computer Interactive
Mega Coin Squad,Platform,Big Pixel Studios,Adult Swim Games
Mega Man 11,Platform,Capcom,Capcom
Mega Man Legacy Collection,Actionplatform,Digital Eclipse,Capcom
Mega Man Legacy Collection 2,Actionplatform,Digital Eclipse,Capcom
Mega Man X Legacy Collection,Actionplatform,Capcom,Capcom
Mega Man X Legacy Collection 2,Actionplatform,Capcom,Capcom
Mega Man Zero/ZX Legacy Collection,Actionplatform,Capcom,Capcom
Megadimension Neptunia VII,Role-playing,Compile Heart,Idea Factory
Mega Mall Story,Business simulation,Kairosoft,Kairosoft
Megaquarium,Business simulation,Twice Circled,Auroch Digital
Megaton Rainfall,Action-adventure,Alfonso del Cerro,Pentadimensional
Megaton Musashi,Action role-playingmech-combat,Level-5,Level-5
Mekazoo,Platform,The Good Mood Creators,The Good Mood Creators
Melbits World,Puzzle-platform,Melbot Studios,Melbot Studios
Melty Blood: Type Lumina,Fighting,French Bread,Delightworks
A Memoir Blue,Interactive drama,Cloisters Interactive,Annapurna Interactive
Memories Off Historia Vol. 1,Visual novel,Mages,Mages
Memories Off Historia Vol. 2,Visual novel,Mages,Mages
Memories Off: Innocent Fille,Visual novel,Mages,Mages
Mercenaries Blaze: Dawn of the Twin Dragons,Role-playing,Rideon,Rideon
Mercenary Kings,Action,Tribute Games,Tribute Games
The Messenger,Actionplatform,Sabotage Studio,Devolver Digital
Metal Gear Solid V: Ground Zeroes,Action-adventurestealth,Kojima Productions,Konami
Metal Gear Solid V: The Phantom Pain,Action-adventurestealth,Kojima Productions,Konami
Metal Gear Survive,Action-adventurestealth,Konami,Konami
Metal Max: Code Zero,Role-playing,Kadokawa Games,Kadokawa Games
Metal Max Xeno,Role-playing,24FrameCattle CallKadokawa Games,Kadokawa Games
Metal Max Xeno Reborn,Role-playing,24FrameCattle CallKadokawa Games,JP: Kadokawa GamesWW: PQube
Metal Max: Wild West,Role-playing,24FrameCattle CallKadokawa Games,Kadokawa Games
Metal Slug 3,Run and gun,SNK,SNK
Metal Revolution,Fighting,Next Studios,Next Studios
Metal Wolf Chaos XD,Third-person shooter,FromSoftware,Devolver Digital
Metallic Child,Actionroguelike,Studio HG,Crest
Metamorphosis,Puzzle-platform,Ovid Works,All in! Games
Metaverse Keeper,Dungeon crawler,Sparks Games,Sparks Games
Metrico+,Platformpuzzle,Digital Dreams,Digital Dreams
Metro Exodus,First-person shooter,4A Games,Deep Silver
Metro 2033 Redux,First-person shooter,4A Games,Deep Silver
Metro: Last Light Redux,First-person shooter,4A Games,Deep Silver
The Metronomicon: Slay the Dance Floor,Music,Puuba,Akupara Games
Mhakna Gramura and Fairy Bell,Visual novel,Alice in Dissonance,Phoenixx
Micetopia,Role-playing,Ratalaika Games,Ratalaika Games
Micro Machines World Series,Racing,Codemasters,Koch Media
Middle-earth: Shadow of Mordor,Action-adventure,Monolith Productions,WB Games
Middle-earth: Shadow of War,Action-adventure,Monolith Productions,WB Games
Mighty Fight Federation,Fighting,Komi Games,Forthright Entertainment
Mighty Goose,Run 'n gun,BlastmodeMP2 Games,Playism
Mighty Morphin Power Rangers: Mega Battle,"Action, fighting",Bandai Namco,Bandai Namco
Mighty No. 9,Actionplatform,"Comcept, Inti Creates",Deep Silver
Mighty Switch Force! Collection,Actionplatform,WayForward,WayForward
Miles & Kilo,Platform,Four Horses,Four Horses
Minecraft: Bedrock Edition,Sandboxsurvival,Mojang,Sony Interactive Entertainment
Minecraft Dungeons,Dungeon crawler,Mojang,Sony Interactive Entertainment
Minecraft: PlayStation 4 Edition,Sandboxsurvival,4J Studios,Sony Interactive Entertainment
Minecraft: Story Mode,Graphic adventure,Telltale Games,Telltale Games
Minecraft: Story Mode - Season 2,Graphic adventure,Telltale Games,Telltale Games
Mini Metro,Puzzlestrategy,Dinosaur Polo Club,Dinosaur Polo Club
Mini Motor Racing X,Racingvehicular combat,The Binary Mill,NextGen Reality
Minoria,Action platform,Bombservice,Dangen Entertainment
Minotaur Arcade Volume 1,Arcade,Llamasoft,Llamasoft
Minutes,Actionpuzzle,Red Phantom Games,Red Phantom Games
Mirror's Edge Catalyst,"Action-adventure, platform",EA DICE,Electronic Arts
Miss Kobayashi's Dragon Maid: Sakuretsu! Chorogon Breath,Shoot 'em up,Kaminari Games,Bushiroad
Mistover,Role-playingturn-based,Krafton Game Union,Krafton Game Union
Mistover: Dr. Faust's Otherworldly Adventure,Role-playingturn-based,Krafton Game Union,Krafton Game Union
MLB 14: The Show,Sports,San Diego Studio,Sony Computer Entertainment
MLB 15: The Show,Sports,San Diego Studio,Sony Computer Entertainment
MLB The Show 16,Sports,San Diego Studio,Sony Computer Entertainment
MLB The Show 17,Sports,San Diego Studio,Sony Interactive Entertainment
MLB The Show 18,Sports,San Diego Studio,Sony Interactive Entertainment
MLB The Show 19,Sports,San Diego Studio,Sony Interactive Entertainment
MLB The Show 20,Sports,San Diego Studio,Sony Interactive Entertainment
MLB The Show 21,Sports,San Diego Studio,Sony Interactive Entertainment
MLB The Show 22,Sports,San Diego Studio,Sony Interactive Entertainment
Mobile Suit Gundam Extreme Vs. Maxiboost ON,Action,Bandai Namco Entertainment,Bandai Namco Entertainment
Modern Tales: Age of Invention,Puzzlehidden object,Orchid Games,Artifex Mundi
Momodora: Reverie Under the Moonlight,Metroidvania,Bombservice,Playism
Monark,Role-playing,Lancarse,JP: FuRyuWW: NIS America
Monkey King: Hero is Back,Action,Hexa Drive,Oasis Games
Monopoly Deal,"Board game, party",Asobo Studios,Ubisoft
Monopoly Madness,"Board game, party",Engine Software,Ubisoft
Monopoly Plus,"Board game, party",Asobo Studios,Ubisoft
Monster Boy and the Cursed Kingdom,Platform,The Game Atelier,FDG Entertainment
Monster Energy Supercross,Racing,Milestone srl,NA: Square EnixEU: Milestone srl
Monster Energy Supercross 2,Racing,Milestone srl,Milestone srl
Monster Energy Supercross 3,Racing,Milestone srl,Milestone srl
Monster Energy Supercross 4,Racing,Milestone srl,Milestone srl
Monster Harvest,Action role-playingfarming,Maple Powered Games,Merge Games
Monster Hunter: World,Action role-playing,Capcom,Capcom
Monster Jam Steel Titans,Racing,Rainbow Studios,THQ Nordic
Monster Jam Steel Titans 2,Racing,Rainbow Studios,THQ Nordic
Monster Sanctuary,Role-playingMetroidvania,Moi Rai Games,Team17
Monster Truck Championship,Racingsimulation,Teyon,Nacon
Moon Hunters,Role-playing,Kitfox Games,Kitfox Games
Moons of Madness,Horror,Rock Pocket Games,Funcom
Moonlighter,Action role-playing,Digital Sun Games,JP: TeyonWW: Digital Sun Games
The Mooseman,Adventure,Morteshka,Sometimes You
Morbid: The Seven Acolytes,Action role-playingsouls-like,Still Running,Merge Games
Mordheim: City of the Damned,Tactical role-playing,Rogue Factor,Focus Home Interactive
More Dark,Puzzle-platform,HugePixel,Ratalaika Games
Mortal Kombat X,Fighting,NetherRealm Studios,WB Games
Mortal Kombat 11,Fighting,NetherRealm Studios,WB Games
Mortal Shell,Action role-playing,Cold Symmetry,Playstack
Mosaic,Adventure,Krillbite Studio,Raw Fury
Mother Russia Bleeds,Beat 'em up,Le Cartel Studio,Devolver Digital
Mothergunship,First-person shooter,Terrible Posture Games,Grip Digital
MotoGP 14,Racing,Milestone srl,Milestone srl
MotoGP 15,Racing,Milestone srl,Milestone srl
MotoGP 17,Racing,Milestone srl,Milestone srl
MotoGP 18,Racing,Milestone srl,Milestone srl
MotoGP 19,Racing,Milestone srl,Milestone srl
MotoGP 20,Racing,Milestone srl,Milestone srl
MotoGP 21,Racing,Milestone srl,Milestone srl
Moto Racer 4,Racing,Artefacts Studio,Microids
Motor Strike: Immortal Legends,Vehicular combat,FiveXGames,FiveXGames
Mount & Blade: Warband,Action role-playing,TaleWorlds Entertainment,Koch Media
Mount & Blade II: Bannerlord,Action role-playing,TaleWorlds Entertainment,Koch Media
MouseCraft,Puzzle,Crunching Koalas,Crunching Koalas
Move or Die,Party,Those Awesome Guys,Those Awesome Guys
Moving Out,Actionpuzzle,DevM GamesSMG Studio,Team17
Mowin & Throwin,Actionparty,House Pixel Games,House Pixel Games
Mozart Requiem,Adventure,GS2 Games,GS2 Games
Mr. Driller Drill Land,Puzzle,Bandai Namco,Bandai Namco
Mr. Pumpkin Adventure 2: Kowloon Walled City,Platform,Cotton Game,Cotton Game
Mugsters,Actionpuzzle,Reinkout Games,Team17
Mulaka,Action-adventure,Lienzo,Lienzo
The Mummy Demastered,Metroidvania,WayForward Technologies,WayForward Technologies
Munchkin: Quacked Quest,Board game,Steve Jackson Games,Asmodee
Murder Detective: Jack the Ripper,Adventure,Nippon Ichi Software,Nippon Ichi Software
Murdered: Soul Suspect,Action-adventure,Airtight Games,Square Enix
Mushroom Heroes,Puzzle-platform,Serkhan Bakar,Hidden Trap
Mushroom Wars 2,Real-time strategy,Zillion Whales,Zillion Whales
Musicus!,Visual novel,Overdrive,Entergram
Mutant Football League,Actionsports,Digital Dreams Entertainment,Digital Dreams Entertainment
Mutant Mudds Deluxe,Platform,Renegade Kid,Renegade Kid
Mutant Mudds Super Challenge,Platform,Renegade Kid,Renegade Kid
Mutant Year Zero: Road to Eden,Adventure,The Bearded Ladies,Funcom
Mutazione,Adventure,Die Gute Fabrik,Akupara Games
MXGP The Official Motocross Videogame,Racing,Milestone srl,Milestone srl
MXGP 2,Racing,Milestone srl,Milestone srl
MXGP 3,Racing,Milestone srl,Milestone srl
MXGP 2019,Racing,Milestone srl,Milestone srl
MXGP 2020,Racing,Milestone srl,Milestone srl
MX Nitro,Racing,Saber Interactive,Miniclip Games
MX Nitro: Unleashed,Racing,Saber Interactive,Mad Dog Games
MX vs ATV All Out,Racing,Rainbow Studios,THQ Nordic
MX vs ATV Legends,Racing,Rainbow Studios,THQ Nordic
MX vs. ATV Supercross Encore,Racing,Rainbow Studios,Nordic Games
My Big Sister,Role-playing,Stranga,Ratalaika Games
My Brother Rabbit,Puzzlehidden object,Artifex Mundi,Artifex Mundi
My Child Lebensborn,Adventure,Sarepta Studio,Sarepta Studio
My Friend Pedro,Shoot 'em up,DeadToast Entertainment,Devolver Digital
My Hero: One's Justice,Fighting,Bandai Namco Entertainment,Bandai Namco Entertainment
My Hero: One's Justice 2,Fighting,Bandai Namco Entertainment,Bandai Namco Entertainment
My Time at Portia,Role-playing,Pathea Games,Team17
My Time at Sandrock,Role-playing,Pathea Games,Pathea Games
My Universe: Cooking Star Restaurant,Simulation,Old Skull Games,Microids
My Universe: Fashion Boutique,Simulation,Black Sheep Studio,Microids
My Universe: My Baby,Simulation,Smart Tale Games,Microids
My Universe: Pet Clinic Cats & Dogs,Simulation,It Matters Games,Microids
My Universe: School Teacher,Simulation,Magic Pockets,Microids
Mystery Chronicle: One Way Heroics,Role-playing,Smoking Wolf,Spike Chunsoft
N++,Platform,Metanet Software,Metanet Software
Namco Museum Archives Vol. 1,Arcade,B.B. Studio,Bandai Namco Entertainment
Namco Museum Archives Vol. 2,Arcade,B.B. Studio,Bandai Namco Entertainment
Nano Assault Neo X,Shoot 'em up,Shin'en Multimedia,Shin'en Multimedia
Narcos: Rise of the Cartels,Turn-based strategy,Kuju Entertainment,Curve Digital
Narita Boy,Action-adventure,Studio Koba,Team17
Naruto: Ultimate Ninja Storm,Fighting,CyberConnect2,Bandai Namco Entertainment
Naruto Shippuden: Ultimate Ninja Storm 2,Fighting,CyberConnect2,Bandai Namco Entertainment
Naruto Shippuden: Ultimate Ninja Storm 3,Fighting,CyberConnect2,Bandai Namco Entertainment
Naruto Shippuden: Ultimate Ninja Storm 4,Fighting,CyberConnect2,Bandai Namco Entertainment
Naruto to Boruto: Shinobi Striker,Fighting,Soleil Ltd.,Bandai Namco Entertainment
NASCAR Heat Evolution,Racing,Monster Games,DM Racing
NASCAR Heat 2,Racing,Monster Games,704Games
NASCAR Heat 3,Racing,Monster Games,704Games
NASCAR Heat 4,Racing,Monster Games,704Games
NASCAR Heat 5,Racing,Monster Games,704Games
Natsuiro High School: Seishun Hakusho,Action-adventurestealth,Tamsoft,D3 Publisher
Natsuki Chronicles,Shoot 'em up,Qute Corporation,Rising Star Games
Natural Doctrine,Tactical role-playing,Kadokawa Games,Kadokawa Games
Naught,2Dplatform,WildSphere,WildSphere
Nayuta no Kiseki Kai,Action role-playing,Nihon Falcom,Nihon Falcom
NBA 2K14,Sports,Visual Concepts,2K Sports
NBA 2K15,Sports,Visual Concepts,2K Sports
NBA 2K16,Sports,Visual Concepts,2K Sports
NBA 2K17,Sports,Visual Concepts,2K Sports
NBA 2K18,Sports,Visual Concepts,2K Sports
NBA 2K19,Sports,Visual Concepts,2K Sports
NBA 2K20,Sports,Visual Concepts,2K Sports
NBA 2K21,Sports,Visual Concepts,2K Sports
NBA 2K22,Sports,Visual Concepts,2K Sports
NBA 2K Playgrounds 2,Sports,Saber Interactive,Saber Interactive
NBA Live 14,Sports,EA Tiburon,Electronic Arts
NBA Live 15,Sports,EA Tiburon,Electronic Arts
NBA Live 16,Sports,EA Tiburon,Electronic Arts
NBA Live 18,Sports,EA Tiburon,Electronic Arts
NBA Live 19,Sports,EA Tiburon,Electronic Arts
NBA Playgrounds,Sports,Saber Interactive,Saber Interactive
Necrobarista,Visual novel,Route 59,Coconut Island Games
Necromunda: Hired Gun,First-person shooter,Streum On Studio,Focus Home Interactive
Necromunda: Underhive Wars,Turn-based strategy,Games Workshop,Focus Home Interactive
Necropolis,Action role-playing,Harebrained Schemes,Bandai Namco Entertainment
Need for Speed,Racing,Ghost Games,Electronic Arts
Need for Speed: Heat,Racing,Ghost Games,Electronic Arts
Need for Speed: Hot Pursuit Remastered,Racing,Criterion Games,Electronic Arts
Need for Speed: Payback,Racing,Ghost Games,Electronic Arts
Need for Speed: Rivals,Racing,Ghost Games,Electronic Arts
Nefarious,Action-platformer,Stage Clear StudiosStarblade,Digerati
Neighbours back From Hell,Puzzlestrategy,FarbworksTHQ Nordic,HandyGames
Nekopara Vol. 1,Visual novel,Neko Works,CFK
Nekopara Vol. 2,Visual novel,Neko Works,CFK
Nekopara Vol. 3,Visual novel,Neko Works,CFK
Nekopara Vol. 4,Visual novel,Neko Works,CFK
Nelke & the Legendary Alchemists: Ateliers of the New World,Town-building,Gust Co. Ltd.,Koei Tecmo
Neon Abyss,Actionrogueliteshooter,Veewo Games,Team17
Neon Chrome,Shooter,10tons,10tons
Neon City Riders,Action-adventure,Mecha Studios,Bromio
Neopolis,Real-time strategy,Omni Systems,Omni Systems
Neo: The World Ends with You,Action role-playing,Square Enix,Square Enix
Neptunia x Senran Kagura: Ninja Wars,Action role-playing,Tamsoft,JP: Compile HeartWW: Idea Factory International
Nerf Legends,First-person shooter,Fun Labs,GameMill Entertainment
Nero,"Adventure, puzzle",Storm in a Teacup,Storm in a Teacup
NeuroVoider,Shooter,Flying Oak Games,Plug In Digital
Never Alone,Platform,Upper One Games,Upper One Games
Neverending Nightmares,Survival horror,Infinitap Games,Infinitap Games
Neversong,Adventure,Atmos GamesSerenity Forge,Serenity Forge
Neverwinter Nights: Enhanced Edition,Role-playing,Beamdog,Skybound Games
New Gundam Breaker,Mech-combat,Bandai Namco Entertainment,Bandai Namco Entertainment
New Star Manager,Simulation,New Star Games,Insight Studios
New Super Lucky's Tale,Platform,Playful Studios,Playful Studios
Nex Machina,Multi-directional shooter,Housemarque,Housemarque
Next Up Hero,Action,Digital Continue,Aspyr
Nexomon: Extinction,Adventure,Vewo Interactive,PQube
NHL '94 Rewind,Sports,Electronic Arts,Electronic Arts
NHL 15,Sports,EA Canada,Electronic Arts
NHL 16,Sports,EA Canada,Electronic Arts
NHL 17,Sports,EA Canada,Electronic Arts
NHL 18,Sports,EA Canada,Electronic Arts
NHL 19,Sports,EA Canada,Electronic Arts
NHL 20,Sports,EA Canada,Electronic Arts
NHL 21,Sports,EA Canada,Electronic Arts
NHL 22,Sports,EA Canada,Electronic Arts
Nickelodeon All-Star Brawl,Fighting,Fair Play LabsLudosity,GameMill Entertainment
Nickelodeon Kart Racers,Kart racing,Bamtang Games,GameMill Entertainment
Nickelodeon Kart Racers 2: Grand Prix,Kart racing,Bamtang Games,GameMill Entertainment
Nicole,Role-playingsimulation,WinterWolves Games,Ratalaika Games
Nidhogg,Fighting,Messhof,Messhof
Nidhogg 2,Fighting,Messhof,Messhof
Nier: Automata,Action role-playinghack and slash,PlatinumGames,Square Enix
Nier Replicant ver.1.22474487139...,Action role-playinghack and slash,Toylogic,Square Enix
Night in the Woods,Adventure,Finji Games,Finji Games
Nightmare Boy,Metroidvania,The Vanir Project,Badland Games
Nightmares from the Deep: The Cursed Heart,Puzzlehidden object,Artifex Mundi,Artifex Mundi
Nightmares from the Deep 2: The Siren's Call,Puzzlehidden object,Artifex Mundi,Artifex Mundi
Nightmares from the Deep 3: Davy Jones,Puzzlehidden object,Artifex Mundi,Artifex Mundi
Nights of Azure,Role-playing,Gust Co. Ltd.,Tecmo Koei
Nights of Azure 2: Bride of the New Moon,Role-playing,Gust,Tecmo Koei
Night Trap: 25th Anniversary Edition,Interactive movie,Screaming Villains,Screaming Villains
Nine Parchments,Action,Frozenbyte,Frozenbyte
Nine Witches: Family Disruption,Point-and-click adventure,Indiesruption,Blowfish Studios
Ni no Kuni: Wrath of the White Witch,Role-playing,Level-5,Bandai Namco
Ni no Kuni II: Revenant Kingdom,Role-playing,Level-5,Bandai Namco
Ninja Gaiden: Master Collection,Action-adventurehack and slash,Team Ninja,Koei Tecmo
Ninja JaJaMaru Collection,Assorted,Biccamera,City Connection
Ninja Shodown,Action,Rising Star Games,Rising Star Games
Ninja Village,Simulationstrategy,Kairosoft,Kairosoft
Nioh,Action role-playing,Koei Tecmo,Sony Interactive Entertainment
Nioh 2,Action role-playing,Team Ninja,Koei Tecmo
The Ninja Saviors: Return of the Warriors,Beat 'em up,Taito,JP: M2WW: Inin Games
Nitroplus Blasterz: Heroines Infinite Duel,Fighting,Examu,Xseed Games
Nobunaga's Ambition: Sphere of Influence,Tactical role-playing,Tecmo Koei,Tecmo Koei
Nobunaga's Ambition: Taishi,Tactical role-playing,Tecmo Koei,Tecmo Koei
Noel The Mortal Fate,Adventure,Kawano,Playism
No Heroes Here,Tower defense,Mad Mimic,Mad Mimic
Noir Chronicles: City of Crime,Puzzlehidden object,Brave Giant,Artifex Mundi
No Man's Sky,Action-adventure,Hello Games,Hello Games
Nom Nom Galaxy,Platform,Q-Games,Double Eleven
Northgard,Real-time strategy,Shiro Games,Shiro Games
No Straight Roads,Action-adventurerhythm,Metronomik,Sold Out
Nostos,Adventure,NetEase,NetEase
Not a Hero,Shooter,Roll7,Devolver Digital
No Time to Explain,Platform,tinyBuild,tinyBuild
Nova-111,"Puzzle, turn-based",Funktronic Labs,Curve Digital
Nowhere Prophet,Roguelike deck-building,Sharkbomb Studios,No More Robots
Nuclear Throne,"Action, roguelike",Vlambeer,Vlambeer
